env_reset_duration_sec,env_step_duration_sec,episode_duration,episode_length,episode_return,evaluator_episodes,evaluator_steps,select_action_duration_sec,steps_per_second
0.011893510818481445,0.0014928848743438721,4.697419881820679,1000,0.0,1,1000,0.0031663367748260497,212.91122098374808
0.0014104843139648438,0.0006754345893859863,2.402449607849121,1000,0.0,6,6000,0.0016987318992614745,416.3166016099188
0.002396106719970703,0.0005626838207244873,1.8110344409942627,1000,0.0,12,12000,0.0012182188034057617,552.3260736821215
0.0018265247344970703,0.0005004558563232422,1.6379799842834473,1000,128.0,19,19000,0.0011101205348968506,610.7155483257357
0.0017268657684326172,0.00035414743423461915,1.2044386863708496,1000,0.0,27,27000,0.0008270585536956787,830.6078801032937
0.0009760856628417969,0.0004827733039855957,1.5242400169372559,1000,291.0,34,34000,0.001016643524169922,656.300458046992
0.0016055107116699219,0.0004444601535797119,1.4556214809417725,1000,21.0,41,41000,0.0009841744899749755,687.2969720486717
0.00106048583984375,0.0004996073246002198,1.571385145187378,1000,6.0,48,48000,0.0010470647811889648,636.6635781967789
0.0018780231475830078,0.000472015380859375,1.5415143966674805,1000,0.0,55,55000,0.001041774034500122,648.9590331365968
0.0009541511535644531,0.00046666717529296876,1.5494577884674072,1000,0.0,62,62000,0.0010581340789794923,645.6334314746113
0.0015113353729248047,0.0004473869800567627,1.515836477279663,1000,6.0,69,69000,0.0010402922630310058,660.0483024659059
0.0009646415710449219,0.00046282958984375,1.6036486625671387,1000,9.0,76,76000,0.0011151449680328368,623.8407390831693
0.0014903545379638672,0.0005566773414611816,1.6282107830047607,1000,7.0,83,83000,0.0010446650981903076,614.3752209993875
0.0009214878082275391,0.00047644400596618655,1.6045074462890625,1000,0.0,90,90000,0.0011024563312530518,623.4903863234497
0.002038717269897461,0.0004339313507080078,1.4059078693389893,1000,0.0,97,97000,0.0009458045959472657,711.5411791150487
0.0017390251159667969,0.0004990894794464112,1.535273551940918,1000,0.0,105,105000,0.0010082242488861084,651.6603004660261
0.0009779930114746094,0.0004294230937957764,1.4066035747528076,1000,0.0,113,113000,0.000953895092010498,711.2320566394059
0.002101421356201172,0.0004412984848022461,1.426393747329712,1000,0.0,121,121000,0.0009572513103485108,701.3540301941626
0.0017921924591064453,0.00040240478515625,1.3343443870544434,1000,0.0,129,129000,0.0009057722091674804,749.7100759164962
0.0013568401336669922,0.0004998788833618164,1.574427843093872,1000,0.0,136,136000,0.0010435047149658203,635.3843114775357
0.0015513896942138672,0.0004617934226989746,1.578805923461914,1000,6.0,143,143000,0.0010920026302337646,633.6592498858242
0.001230001449584961,0.00046838927268981934,1.4556536674499512,1000,0.0,150,150000,0.0009618666172027588,687.2322196466991
0.001092672348022461,0.000450552225112915,1.5033717155456543,1000,60.0,157,157000,0.0010284533500671386,665.4175787599635
0.001527547836303711,0.0004426877498626709,1.4252817630767822,1000,0.0,164,164000,0.0009584224224090576,701.9101315576105
0.0007760524749755859,0.00045316600799560544,1.4919095039367676,1000,30.0,171,171000,0.0010119800567626952,670.5652772124413
0.0015006065368652344,0.00046947073936462404,1.4946279525756836,1000,0.0,178,178000,0.0009975793361663818,669.3108433104326
0.001257181167602539,0.00043248391151428224,1.450385332107544,1000,64.0,186,186000,0.0009935150146484376,689.7209266454219
0.0018117427825927734,0.00045577239990234373,1.4961607456207275,1000,14.0,194,194000,0.0010131278038024902,668.6503663201914
0.0020143985748291016,0.00048240923881530764,1.535862684249878,1000,227.0,201,201000,0.0010269649028778077,651.3642872007032
0.0007381439208984375,0.000477360725402832,1.5629615783691406,1000,799.0,208,208000,0.0010603291988372802,640.099917940682
0.0012836456298828125,0.0004971153736114502,1.5777831077575684,1000,967.0,215,215000,0.00105324387550354,634.0280279333047
0.001154184341430664,0.0004194772243499756,1.4312293529510498,1000,963.0,222,222000,0.0009843955039978028,699.0107065546086
0.0020503997802734375,0.0004470686912536621,1.481184959411621,1000,955.0,229,229000,0.001006831169128418,675.4122510000417
0.0007827281951904297,0.0004017460346221924,1.3334109783172607,1000,937.0,236,236000,0.0009070982933044434,750.3323835298057
