env_reset_duration_sec,env_step_duration_sec,episode_duration,episode_length,episode_return,evaluator_episodes,evaluator_steps,select_action_duration_sec,steps_per_second
0.003947019577026367,0.0014070820808410643,4.142141103744507,1000,0.0,1,1000,0.0027065434455871584,241.45361349670472
0.0007584095001220703,0.0010684561729431153,2.304375171661377,1000,0.0,6,6000,0.0012118518352508545,434.1136427971494
0.002450704574584961,0.0005009267330169678,1.6545383930206299,1000,0.0,12,12000,0.0011213560104370117,604.6269783917021
0.0018529891967773438,0.0006814723014831543,2.169257879257202,1000,0.0,18,18000,0.001451315402984619,461.13250287857096
0.0051915645599365234,0.0005428082942962646,1.7370662689208984,1000,0.0,24,24000,0.0011606028079986573,575.8867312627262
0.0018246173858642578,0.0004501960277557373,1.4103245735168457,1000,0.0,31,31000,0.0009338910579681397,709.3417974642784
0.0017361640930175781,0.00044731712341308593,1.4057042598724365,1000,0.0,39,39000,0.0009318506717681885,711.6690330690021
0.0025124549865722656,0.00042151713371276856,1.432502031326294,1000,0.0,47,47000,0.0009839372634887695,698.4124341039679
0.0016558170318603516,0.0004022800922393799,1.3748273849487305,1000,0.0,55,55000,0.0009457261562347412,727.682549376119
0.0007016658782958984,0.000417081356048584,1.3836534023284912,1000,0.0,63,63000,0.0009433019161224365,723.017616114436
0.0014884471893310547,0.0003703470230102539,1.2191245555877686,1000,0.0,71,71000,0.0008253176212310791,820.6378793781057
0.0012052059173583984,0.00040286445617675784,1.4166247844696045,1000,0.0,79,79000,0.0009887900352478027,706.1819271611154
0.0011854171752929688,0.00038690876960754397,1.3141536712646484,1000,0.0,87,87000,0.0009039840698242187,761.2530325857659
0.0020911693572998047,0.00043179583549499514,1.341839075088501,1000,0.0,95,95000,0.0008845412731170654,745.537276739412
0.0011200904846191406,0.0004051780700683594,1.3638720512390137,1000,0.0,103,103000,0.0009330394268035889,733.4861289533943
0.0008282661437988281,0.0004078247547149658,1.3451507091522217,1000,0.0,111,111000,0.0009118649959564209,743.8235113125157
0.003385305404663086,0.00040403270721435546,1.367082118988037,1000,0.0,119,119000,0.0009351267814636231,731.8165322017811
0.0008985996246337891,0.00039601993560791016,1.2888271808624268,1000,0.0,127,127000,0.0008696496486663818,776.2711444061355
0.0015382766723632812,0.00039416909217834475,1.3798115253448486,1000,0.0,135,135000,0.0009609830379486084,725.0051251416112
0.0016093254089355469,0.0005483989715576172,1.588207721710205,1000,0.0,143,143000,0.0010119907855987548,629.8652210150096
0.002352476119995117,0.0004356846809387207,1.4901847839355469,1000,0.0,151,151000,0.001026679277420044,671.3333275712332
0.0028007030487060547,0.0004658541679382324,1.5896995067596436,1000,0.0,159,159000,0.0010926957130432129,629.3078355600073
0.0027663707733154297,0.00039270710945129395,1.3662993907928467,1000,0.0,166,166000,0.000945166826248169,732.1559522286284
0.0035033226013183594,0.00042994046211242674,1.483152151107788,1000,4.0,174,174000,0.0010243103504180909,674.4982556623032
0.0022852420806884766,0.000417574405670166,1.3979034423828125,1000,0.0,182,182000,0.0009542970657348633,715.6202573759933
0.0010290145874023438,0.00040183687210083006,1.311462163925171,1000,0.0,190,190000,0.0008859844207763672,762.896176155493
0.0009267330169677734,0.0003744015693664551,1.2829561233520508,1000,1.0,198,198000,0.0008859400749206543,779.7863681507314
0.0014948844909667969,0.0005061495304107666,1.5539705753326416,1000,0.0,206,206000,0.001021031618118286,643.7535262673535
0.0015239715576171875,0.00047338509559631347,1.6054604053497314,1000,0.0,213,213000,0.0010999889373779297,623.0951590768163
0.0011663436889648438,0.00043754982948303225,1.4801914691925049,1000,0.0,220,220000,0.001016322135925293,675.9022536338393
0.0017213821411132812,0.0004505736827850342,1.4420828819274902,1000,0.0,227,227000,0.0009632835388183594,693.7451351216348
0.0015368461608886719,0.000392500638961792,1.3501214981079102,1000,0.0,235,235000,0.0009307596683502198,740.9631221788602
0.0024878978729248047,0.0004356575012207031,1.3875761032104492,1000,0.0,243,243000,0.0009237771034240722,720.9621482771045
0.001405954360961914,0.0004469046592712402,1.4641382694244385,1000,0.0,251,251000,0.0009891200065612793,683.2799949824753
0.0010058879852294922,0.00039531850814819336,1.339613914489746,1000,976.0,259,259000,0.0009183964729309082,746.7894299030277
0.0018832683563232422,0.00040131545066833497,1.3338050842285156,1000,968.0,267,267000,0.0009037554264068604,750.0425601313856
0.0007455348968505859,0.0004943087100982666,1.588029384613037,1000,8.0,274,274000,0.001065826416015625,629.955376138257
0.0013661384582519531,0.0004388432502746582,1.4809355735778809,1000,0.0,281,281000,0.0010170435905456543,675.509063228316
0.0015947818756103516,0.0005500266551971435,2.0017170906066895,1000,0.0,287,287000,0.0014184489250183105,499.7608018375185
0.0010724067687988281,0.00038601064682006837,1.3114840984344482,1000,0.0,293,293000,0.0008986911773681641,762.8660659607606
0.0006361007690429688,0.0004732942581176758,1.5826263427734375,1000,0.0,300,300000,0.001084571361541748,632.0962886852114
0.0007877349853515625,0.00042972731590270994,1.3770954608917236,1000,0.0,307,307000,0.0009233627319335938,726.4821482636708
0.0014066696166992188,0.0004496405124664307,1.4228250980377197,1000,3.0,315,315000,0.0009469535350799561,703.1038258547775
0.0008952617645263672,0.000460871696472168,1.4338772296905518,1000,0.0,323,323000,0.0009453790187835693,697.7021247432255
0.0009796619415283203,0.0005085358619689942,1.598102331161499,1000,521.0,330,330000,0.0010624151229858398,625.9452670386846
0.00275421142578125,0.0005090391635894776,1.6317870616912842,1000,953.0,337,337000,0.0010878829956054688,613.0979153404428
0.0021605491638183594,0.0004690353870391846,1.5928163528442383,1000,931.0,344,344000,0.0010951733589172363,628.0747639312355
0.001415252685546875,0.00046428728103637697,1.5791232585906982,1000,0.0,351,351000,0.001088897705078125,633.4860245199018
0.0019981861114501953,0.0004547309875488281,1.4400599002838135,1000,0.0,359,359000,0.0009558143615722657,694.6995319316679
0.0011548995971679688,0.00047418403625488283,1.4876234531402588,1000,3.0,367,367000,0.0009830403327941895,672.4980883935788
0.0009043216705322266,0.00043956732749938967,1.4269535541534424,1000,0.0,375,375000,0.0009631526470184326,701.0809972346582
0.0017232894897460938,0.0004310495853424072,1.3728084564208984,1000,0.0,383,383000,0.0009168367385864258,728.7372354262247
0.002102375030517578,0.0004534933567047119,1.5329225063323975,1000,976.0,391,391000,0.0010522613525390625,652.6588083569128
0.0019500255584716797,0.0004084620475769043,1.396937370300293,1000,0.0,399,399000,0.0009611818790435791,716.1481059050618
0.001196146011352539,0.000581179141998291,1.6220369338989258,1000,113.0,407,407000,0.0010128936767578125,616.7149092741965
0.0010523796081542969,0.0005291147232055664,1.5853722095489502,1000,169.0,414,414000,0.0010311133861541748,630.9866613310988
0.0017473697662353516,0.00047964692115783693,1.438506841659546,1000,0.0,421,421000,0.0009316990375518799,695.4092719158248
0.0007772445678710938,0.0005034692287445068,1.5199041366577148,1000,0.0,428,428000,0.0009910812377929687,658.2376297881002
0.0009224414825439453,0.0005112285614013672,1.6246213912963867,1000,0.0,435,435000,0.0010870234966278076,615.7653273200001
