env_reset_duration_sec,env_step_duration_sec,episode_duration,episode_length,episode_return,evaluator_episodes,evaluator_steps,select_action_duration_sec,steps_per_second
0.2155003547668457,0.0015392556190490722,4.589555978775024,1000,0.10099505,1,1000,0.0028109188079833984,217.91226399160044
0.01489710807800293,0.00047795915603637693,1.4107043743133545,1000,0.0701376,6,6000,0.0008952486515045166,709.0591548133834
0.025885343551635742,0.000537466287612915,1.5335512161254883,1000,0.23622473,13,13000,0.00094319748878479,652.3208980908788
0.009224176406860352,0.00040030789375305174,1.2126851081848145,1000,1.0127649,21,21000,0.0007792236804962158,825.1001103988127
0.026269197463989258,0.00039148283004760743,1.218583106994629,1000,2.409446,30,30000,0.0007778894901275635,820.9965714035166
0.010249137878417969,0.0004268770217895508,1.2865090370178223,1000,17.875467,38,38000,0.0008272342681884766,777.6506714120809
0.012382268905639648,0.0004344916343688965,1.2861285209655762,1000,30.374107,46,46000,0.0008156993389129639,777.8462305380992
0.024796009063720703,0.0003872988224029541,1.195019245147705,1000,54.49932,54,54000,0.00076125168800354,837.1922757943419
0.009228706359863281,0.000467160701751709,1.3658733367919922,1000,36.535862,62,62000,0.000865973711013794,732.4741967380193
0.02499866485595703,0.00048433780670166016,1.4379620552062988,1000,93.03656,70,70000,0.0009047501087188721,695.6987898969431
0.015591859817504883,0.0005180332660675049,1.461378812789917,1000,80.30683,78,78000,0.0009021933078765869,684.6344335060683
0.009771108627319336,0.000417858362197876,1.262209177017212,1000,60.40108,85,85000,0.0008118984699249268,792.6274735687157
0.034393310546875,0.00045104289054870604,1.3418822288513184,1000,54.78757,93,93000,0.0008317551612854004,745.5417824196072
0.025834321975708008,0.00044395971298217776,1.3062846660614014,1000,57.226456,101,101000,0.0008135881423950196,765.8785482084141
0.010287761688232422,0.000515308141708374,1.4472625255584717,1000,52.74192,109,109000,0.0008974289894104004,691.2388610910004
0.028769254684448242,0.00044344496726989746,1.3464312553405762,1000,54.08637,117,117000,0.0008501744270324707,743.0523704115103
0.03455686569213867,0.000549705982208252,1.598578929901123,1000,102.99223,125,125000,0.000987489700317383,625.7654030224934
0.014998912811279297,0.0005057947635650634,1.4374017715454102,1000,36.36008,132,132000,0.0008926510810852051,696.0611998236242
0.025388479232788086,0.0005336475372314454,1.4819588661193848,1000,77.73369,140,140000,0.000899430513381958,675.058306872397
0.025516271591186523,0.0005165960788726807,1.4987297058105469,1000,60.936172,147,147000,0.0009302399158477783,667.5069578657622
0.024282217025756836,0.000418532133102417,1.2890172004699707,1000,117.99236,154,154000,0.000820584774017334,776.1858136323067
0.010790348052978516,0.0004107191562652588,1.247635841369629,1000,45.934834,162,162000,0.0008015906810760498,801.9093005750806
0.01808786392211914,0.0004130547046661377,1.253504753112793,1000,65.54908,170,170000,0.0007988154888153076,798.1075148345141
0.023983478546142578,0.0004077813625335693,1.2717626094818115,1000,146.51631,178,178000,0.0008184866905212402,786.5873510018229
0.02339482307434082,0.00040830039978027345,1.2432820796966553,1000,79.09035,186,186000,0.0007891113758087159,804.7211490293491
0.029485464096069336,0.0004498188495635986,1.3503894805908203,1000,101.20956,194,194000,0.0008461964130401611,740.9249019105256
0.0303802490234375,0.0005343780517578125,1.5230774879455566,1000,139.97884,201,201000,0.0009315738677978516,656.7949944386305
0.03128409385681152,0.0005508661270141602,1.546354055404663,1000,181.04324,208,208000,0.0009343078136444092,646.9940634807269
0.017476320266723633,0.0005303065776824951,1.496891736984253,1000,199.37732,215,215000,0.0009253437519073486,668.3478790177242
0.034674882888793945,0.0005227854251861572,1.515129566192627,1000,232.55075,222,222000,0.0009311842918395996,660.2694125838481
0.009128093719482422,0.000532869815826416,1.4778697490692139,1000,222.62617,230,230000,0.0009111676216125488,676.9518007807784
0.03928661346435547,0.0007158021926879883,1.9361021518707275,1000,151.59328,237,237000,0.0011507604122161866,516.6714872704033
0.028437376022338867,0.000739530086517334,1.935617446899414,1000,243.08284,243,243000,0.001137800931930542,516.8193785580355
0.02189326286315918,0.00048761963844299314,1.4418556690216064,1000,222.33543,250,250000,0.0009084458351135253,694.0173061537863
0.009093999862670898,0.0005070171356201171,1.425154685974121,1000,231.3317,258,258000,0.0008861222267150879,701.975917310084
0.027799606323242188,0.0005478508472442627,1.565762996673584,1000,232.67241,265,265000,0.0009628252983093262,638.9450036796848
0.008170366287231445,0.00049638032913208,1.4315812587738037,1000,231.51118,272,272000,0.0009037952423095703,698.842644506152
